metricId;metricName;salesForceName;siteName;dateTime;value;referenceValue
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 14:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 15:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:30;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:35;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:40;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:45;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:50;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 16:55;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:00;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:05;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:10;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:15;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:20;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:25;1;0
213080;LIGHT General Preset 6;COLEX2063;Pereira Victoria - Exito;06/01/2023 17:30;1;0
